player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Graham Mertz,97994,QB,WISCONSIN,1,38,52.9,17,19,13.8,3.42,0,1,5.0,36.8,7,11,22.2,23,60.5,2,4,,,,,67.7,63.5,73.5,65.2,59.8,,57.3,0,2,25,27.3,8.6,13.0,3,1,0,2,0,0,0.0,70,3.7,0,349,69.5,83.3,85.2,55.8,84.6,13,13,12.3,2.8,0,3,21.4,76.9,10,5,9.1,15,39.5,1,5,,,,,66.5,93.0,71.6,92.7,,,,0,0,16,40.0,135.4,13.3,2,0,0,0,1,0,0.0,136,10.5,61.9,21,21,13.1,2.82,0,2,8.7,47.6,10,0,23.1,22,57.9,3,4,,,,,67.6,82.2,73.0,83.4,,,57.3,0,1,24,,58.8,0.0,0,1,0,0,1,0,0.0,106,5.0,0,77.8,9,11,13.1,3.66,0,2,18.2,63.6,7,16,0.0,16,42.1,0,5,,,,,66.7,76.5,72.3,76.8,59.8,,,0,1,17,31.3,55.1,31.3,5,0,0,2,0,0,0.0,100,9.1
Cole Snyder,97617,QB,BUFFALO,1,38,44.4,9,12,12.8,2.28,0,0,0.0,33.3,4,7,0.0,13,34.2,0,3,,,,,66.2,30.0,71.2,32.1,,,56.7,1,1,14,0.0,16.3,0.0,0,1,0,2,0,3,21.4,61,5.1,0,126,35.8,52.5,53.6,54.3,71.4,21,22,10.5,2.58,0,1,4.5,63.6,14,4,6.7,25,65.8,1,8,,,,,26.0,66.0,73.1,69.4,,,52.5,0,0,25,25.0,93.9,4.0,1,2,0,1,1,1,4.0,125,5.7,68.0,25,26,10.3,2.3,0,1,3.8,61.5,16,0,5.9,27,71.1,1,9,,,,,67.9,71.1,73.4,72.7,,,56.7,0,0,27,,91.0,0.0,0,1,0,1,1,1,3.7,155,6.0,0,40.0,5,8,15.4,2.91,0,0,0.0,25.0,2,11,0.0,11,28.9,0,2,,,,,19.2,26.4,70.7,26.7,,,52.5,1,1,12,9.1,3.6,9.1,1,2,0,2,0,3,25.0,31,3.9
Jack Plummer,83543,QB,CAL,1,38,50.0,2,3,15.0,2.7,0,0,0.0,33.3,1,2,0.0,4,10.5,0,1,,,,,63.8,75.4,68.1,70.6,,,63.1,0,0,5,50.0,49.3,25.0,1,0,0,1,0,0,0.0,14,4.7,0,130,69.9,79.4,83.9,56.2,82.8,29,30,9.2,2.72,0,1,3.2,73.3,22,15,8.3,34,89.5,2,8,,,,,68.6,82.3,74.3,83.0,,,57.8,1,0,35,20.0,99.0,8.8,3,1,0,0,0,1,2.9,258,8.6,81.0,21,21,5.4,2.33,0,0,0.0,76.2,16,0,5.9,21,55.3,1,5,,,,,67.4,80.6,72.7,79.9,,,,0,0,22,,89.4,0.0,0,0,0,0,0,0,0.0,120,5.7,1,80.0,10,12,18.4,3.19,0,1,8.3,58.3,7,17,12.5,17,44.7,1,4,,,,,66.8,78.9,72.0,79.1,,,61.3,1,0,18,23.5,102.8,23.5,4,1,0,1,0,1,5.6,152,12.7
Owen McCown,157688,QB,COLORADO,1,37,46.7,15,16,8.3,3.08,0,0,0.0,43.8,7,10,0.0,17,45.9,0,5,,,,,66.8,38.8,72.0,39.1,,,,0,0,18,10.0,68.2,5.9,1,0,0,1,0,1,5.6,114,7.1,0,143,70.2,56.4,54.7,58.9,66.7,12,14,9.2,3.09,2,1,7.1,50.0,7,7,12.5,20,54.1,1,2,,,,,67.0,64.7,72.5,75.9,55.9,,48.2,0,0,20,28.6,89.0,10.0,2,4,0,0,1,0,0.0,72,5.1,68.8,16,18,7.1,2.58,2,0,0.0,55.6,10,0,9.1,20,54.1,1,4,,,,,67.2,55.9,72.7,60.2,55.9,,52.8,0,0,21,,95.4,0.0,0,2,0,0,1,0,0.0,123,6.8,0,36.4,11,12,10.9,3.68,0,1,8.3,33.3,4,17,0.0,17,45.9,0,3,,,,,66.5,47.1,71.8,50.5,,,52.9,0,0,17,17.6,51.7,17.6,3,2,0,1,0,1,5.9,63,5.3
Dorian Thompson-Robinson,83574,QB,UCLA,1,37,70.0,10,12,4.8,2.17,1,0,0.0,58.3,7,5,0.0,12,32.4,0,4,,,,,65.8,58.3,70.7,58.1,,,,0,0,12,0.0,68.4,0.0,0,0,0,1,0,0,0.0,51,4.3,0,324,72.1,82.0,75.3,74.7,94.4,18,21,6.4,2.86,1,0,0.0,81.0,17,8,0.0,25,67.6,0,14,,,,,67.7,88.5,73.1,82.1,,,74.9,1,0,25,12.5,158.3,4.0,1,3,0,1,3,0,0.0,263,12.5,81.8,22,23,6.1,2.25,1,0,0.0,78.3,18,0,0.0,24,64.9,0,14,,,,,67.6,81.2,73.0,78.6,,,64.0,0,0,24,,156.3,0.0,0,1,0,0,3,0,0.0,276,12.0,0,100.0,6,10,4.8,3.34,1,0,0.0,60.0,6,13,0.0,13,35.1,0,4,,,,,66.0,70.2,71.0,61.4,,,71.0,1,0,13,7.7,67.9,7.7,1,2,0,2,0,0,0.0,38,3.8
Tanner McKee,131770,QB,STANFORD,1,37,64.7,17,20,5.8,2.12,0,0,0.0,55.0,11,3,0.0,21,56.8,0,6,,,,,67.2,58.9,72.5,58.7,,,,0,0,21,33.3,84.0,4.8,1,0,0,3,1,0,0.0,93,4.7,0,300,69.3,61.2,62.7,53.9,69.2,13,13,6.3,2.37,0,1,7.1,69.2,9,5,0.0,16,43.2,0,4,,,,,66.7,63.2,71.8,66.4,,,56.3,0,0,17,40.0,110.4,12.5,2,1,0,0,1,0,0.0,78,6.0,67.9,28,29,6.5,2.01,0,1,3.4,65.5,19,0,0.0,29,78.4,0,10,,,,,68.1,68.3,73.6,67.8,,,,0,0,29,,103.2,0.0,0,0,0,1,2,0,0.0,164,5.7,0,50.0,2,4,0.0,3.03,0,0,0.0,25.0,1,8,0.0,8,21.6,0,0,,,,,65.1,41.8,69.8,46.1,,,56.3,0,0,9,37.5,39.6,37.5,3,1,0,2,0,0,0.0,7,1.8
Jordan Travis,77615,QB,FLORIDA ST,1,37,62.5,8,9,14.5,2.8,0,1,10.0,55.6,5,4,0.0,9,24.3,0,4,,,,,65.4,66.2,70.1,65.8,,,,0,0,10,0.0,115.7,0.0,0,0,0,1,2,0,0.0,60,6.7,0,167,37.9,73.0,79.7,42.4,80.0,25,26,12.6,2.63,1,1,3.2,69.2,18,9,10.0,28,75.7,2,12,,,,,68.5,80.9,74.1,81.7,,,57.3,0,0,33,11.1,108.0,3.6,1,1,0,0,1,0,0.0,221,8.5,83.3,24,24,13.0,2.21,0,2,7.7,75.0,18,0,10.0,24,64.9,2,14,,,,,67.8,91.7,73.3,91.4,,,,0,0,26,,145.3,0.0,0,0,0,0,3,0,0.0,237,9.9,0,55.6,9,11,13.2,3.52,1,0,0.0,45.5,5,13,0.0,13,35.1,0,2,,,,,66.7,46.0,71.8,47.6,,,57.3,0,0,17,7.7,56.6,7.7,1,1,0,1,0,0,0.0,44,4.0
James Blackman,60382,QB,ARK STATE,1,37,83.3,6,6,10.3,2.37,0,0,0.0,83.3,5,4,0.0,6,16.2,0,4,,,,,64.2,83.8,68.6,83.1,,,,0,0,6,0.0,141.7,0.0,0,0,0,0,1,0,0.0,51,8.5,0,113,69.8,81.1,81.8,57.2,77.8,27,28,7.4,3.17,0,1,3.4,71.4,20,13,4.8,31,83.8,1,10,,,,,68.4,75.6,74.0,76.7,,,57.3,0,0,32,15.4,103.7,6.5,2,1,0,1,1,0,0.0,203,7.3,78.9,19,19,8.1,2.7,0,0,0.0,78.9,15,0,0.0,20,54.1,0,9,,,,,67.2,75.1,72.5,76.7,,,57.3,0,0,21,,117.5,0.0,0,1,0,0,1,0,0.0,152,8.0,1,78.6,14,15,7.8,3.45,0,1,6.7,66.7,10,17,9.1,17,45.9,1,5,,,,,66.7,79.9,71.8,79.3,,,,0,0,17,11.8,108.2,11.8,2,0,0,1,1,0,0.0,102,6.8
Brady Cook,124199,QB,MISSOURI,1,35,50.0,10,10,16.1,2.55,0,1,8.3,50.0,5,5,0.0,12,34.3,0,3,,,,,66.2,55.4,71.2,57.6,,,57.0,0,0,14,20.0,107.9,8.3,1,1,0,0,1,2,14.3,74,7.4,0,229,69.3,53.4,54.1,55.3,72.7,22,22,5.1,2.55,0,2,8.7,68.2,15,5,6.3,23,65.7,1,5,,,,,67.6,53.4,73.0,53.3,,,,0,0,24,20.0,81.3,4.3,1,0,0,0,0,1,4.2,118,5.4,68.0,25,25,5.5,2.2,0,1,3.6,68.0,17,0,0.0,25,71.4,0,5,,,,,68.0,49.1,73.5,49.1,,,,0,0,28,,78.6,0.0,0,0,0,0,0,2,7.1,119,4.8,0,57.1,7,7,19.4,3.43,0,2,28.6,42.9,3,10,25.0,10,28.6,1,3,,,,,65.4,63.9,70.1,67.0,,,57.0,0,0,10,20.0,120.8,20.0,2,1,0,0,1,1,10.0,73,10.4
Spencer Petras,82136,QB,IOWA,1,35,90.9,11,11,5.0,2.45,0,1,7.7,81.8,9,2,10.0,11,31.4,1,3,,,,,66.0,81.0,71.0,80.4,,,,0,0,13,0.0,103.0,0.0,0,0,0,0,0,0,0.0,96,8.7,0,192,68.9,83.8,82.9,,73.7,19,20,10.3,2.68,0,0,0.0,60.0,12,12,14.3,24,68.6,2,7,,,,,67.7,78.8,73.1,78.1,,,,1,0,25,33.3,100.0,16.7,4,0,0,0,1,1,4.0,150,7.5,81.0,21,21,6.5,2.48,0,1,4.5,76.2,16,0,5.9,21,60.0,1,6,,,,,67.4,79.1,72.7,78.4,,,,0,0,22,,110.4,0.0,0,0,0,0,1,1,4.5,146,7.0,0,77.8,9,10,12.7,2.79,0,0,0.0,50.0,5,14,28.6,14,40.0,2,4,,,,,66.5,79.9,71.6,79.2,,,,1,0,16,28.6,85.4,28.6,4,0,0,0,0,0,0.0,100,10.0
Cooper Legas,101286,QB,UTAH ST,1,35,66.7,3,3,19.7,2.4,0,0,0.0,66.7,2,1,0.0,3,8.6,0,2,,,,,62.7,68.0,66.6,67.7,,,,0,0,3,0.0,143.1,0.0,0,0,0,0,1,0,0.0,33,11.0,0,329,48.0,55.7,55.0,58.1,72.0,25,29,11.7,3.27,0,2,5.9,58.6,17,9,5.6,32,91.4,1,7,,,,,68.8,51.8,74.5,52.8,,,57.3,1,2,37,22.2,56.0,6.3,2,1,1,2,1,4,10.8,155,5.3,73.9,23,24,11.7,2.72,0,2,7.1,66.7,16,0,5.9,25,71.4,1,6,,,,,68.1,62.3,73.6,63.4,,,57.3,0,1,29,,75.2,0.0,0,1,1,0,1,2,6.9,121,5.0,0,60.0,5,8,16.4,4.39,0,0,0.0,37.5,3,10,0.0,10,28.6,0,3,,,,,65.6,40.2,70.4,40.4,,,,1,1,11,20.0,68.2,20.0,2,0,0,2,1,2,18.2,67,8.4
Jeff Sims,122496,QB,GA TECH,1,34,46.2,13,14,8.6,2.51,0,0,0.0,42.9,6,9,0.0,16,47.1,0,4,,,,,66.5,26.8,71.8,25.6,60.0,,64.9,0,0,16,11.1,55.4,6.3,1,1,0,1,0,2,12.5,59,4.2,0,176,73.7,30.7,23.9,77.7,50.0,12,12,11.0,2.98,0,1,7.1,41.7,5,9,16.7,18,52.9,1,2,,,,,67.1,28.3,72.4,26.3,,,67.3,0,0,20,33.3,79.5,16.7,3,3,0,0,1,3,15.0,43,3.6,50.0,12,13,11.3,2.89,0,0,0.0,38.5,5,0,16.7,16,47.1,1,2,,,,,66.8,39.4,72.0,31.3,,,68.2,0,0,18,,46.6,0.0,0,3,0,1,0,1,5.6,32,2.5,0,46.2,13,13,8.4,2.64,0,1,7.7,46.2,6,18,0.0,18,52.9,0,4,,,,,66.8,23.4,72.2,22.6,60.0,,64.2,0,0,18,22.2,88.6,22.2,4,1,0,0,1,4,22.2,70,5.4
Max Duggan,99470,QB,TCU,1,34,72.7,11,13,13.9,2.44,1,1,7.1,61.5,8,4,0.0,13,38.2,0,6,,,,,66.2,63.4,71.2,63.2,,,,0,0,14,0.0,140.7,0.0,0,0,0,1,2,1,7.1,149,11.5,0,305,70.6,61.4,51.9,78.2,78.9,19,20,5.1,2.74,0,0,0.0,75.0,15,5,0.0,21,61.8,0,8,,,,,67.5,48.9,72.8,45.6,,,64.1,0,0,23,0.0,113.1,0.0,0,1,0,1,1,1,4.3,153,7.7,87.0,23,24,5.4,2.24,1,1,3.8,83.3,20,0,0.0,25,73.5,0,11,,,,,67.9,58.2,73.4,55.4,,,64.1,0,0,27,,128.8,0.0,0,1,0,0,2,1,3.7,198,8.3,0,42.9,7,9,17.9,3.7,0,0,0.0,33.3,3,9,0.0,9,26.5,0,3,,,,,65.4,49.5,70.1,49.5,,,,0,0,10,0.0,115.0,0.0,0,0,0,2,1,1,10.0,104,11.6
Max Johnson,124099,QB,TEXAS A&M,1,34,83.3,12,14,8.2,2.79,0,0,0.0,57.1,8,12,20.0,20,58.8,2,4,,,,,67.0,73.3,72.4,75.4,,,57.3,1,0,20,33.3,81.8,20.0,4,1,0,1,0,0,0.0,108,7.7,0,312,69.1,69.9,75.5,49.0,91.7,12,12,4.7,2.99,0,1,7.1,91.7,11,5,0.0,14,41.2,0,4,,,,,66.5,64.0,71.6,69.2,,,52.9,0,0,16,0.0,127.4,0.0,0,2,0,0,1,0,0.0,95,7.9,80.0,15,15,7.5,2.52,0,1,5.9,73.3,11,0,8.3,17,50.0,1,5,,,,,67.0,73.0,72.2,75.0,,,57.3,0,0,19,,122.9,0.0,0,1,0,0,1,0,0.0,135,9.0,0,100.0,9,11,4.7,3.23,0,0,0.0,72.7,8,17,11.1,17,50.0,1,3,,,,,66.5,63.8,71.8,69.4,,,52.9,1,0,17,23.5,88.4,23.5,4,2,0,1,0,0,0.0,68,6.2
Ethan Hampton,145858,QB,N ILLINOIS,1,33,71.4,7,8,10.3,2.24,1,0,0.0,50.0,4,5,20.0,11,33.3,1,2,,,,,65.6,59.0,70.7,61.6,,,57.3,0,1,12,60.0,29.7,27.3,3,0,0,0,0,0,0.0,49,6.1,0,254,68.5,82.8,82.4,61.7,78.9,19,21,11.5,2.36,2,1,4.8,61.9,13,2,13.3,22,66.7,2,9,,,,,67.4,90.2,72.7,88.3,,,64.0,0,0,22,0.0,114.2,0.0,0,1,0,0,2,0,0.0,145,6.9,87.0,23,26,10.5,2.11,3,1,3.8,65.4,17,0,15.0,26,78.8,3,10,,,,,67.8,91.1,73.3,90.8,,,,0,0,26,,113.3,0.0,0,0,0,0,2,0,0.0,194,7.5,0,0.0,3,3,16.3,3.09,0,0,0.0,0.0,0,7,,7,21.2,0,1,,,,,64.6,43.9,69.5,38.7,,,61.7,0,1,8,42.9,0.0,42.9,3,1,0,0,0,0,0.0,0,0.0
Matt McDonald,60350,QB,BOWL GREEN,1,33,100.0,8,8,7.3,2.83,0,1,10.0,100.0,8,3,0.0,9,27.3,0,6,,,,,65.6,92.6,70.4,93.5,,,57.0,0,0,11,0.0,146.4,0.0,0,1,0,0,3,0,0.0,77,9.6,0,122,70.1,83.6,83.6,63.1,65.0,20,21,12.7,2.67,0,1,4.8,47.6,10,11,23.1,24,72.7,3,4,,,,,67.6,64.8,73.0,63.8,,,62.0,0,1,24,9.1,55.7,4.2,1,2,0,1,0,0,0.0,170,8.1,73.7,19,19,7.4,2.19,0,1,5.0,57.9,11,0,21.4,19,57.6,3,5,,,,,67.1,73.3,72.4,72.8,,,,0,1,20,,96.5,0.0,0,0,0,0,3,0,0.0,130,6.8,0,77.8,9,10,19.0,3.43,0,1,9.1,70.0,7,14,0.0,14,42.4,0,5,,,,,66.4,84.2,71.4,88.4,,,58.3,0,0,15,7.1,109.2,7.1,1,3,0,1,0,0,0.0,117,11.7
Gunnar Watson,83570,QB,TROY,1,33,53.3,15,15,9.7,2.72,0,0,0.0,46.7,7,8,12.5,19,57.6,1,6,,,,66.7,67.3,79.5,72.4,72.2,88.9,,64.3,0,0,19,37.5,70.4,15.8,3,1,0,0,0,0,0.0,106,7.1,0,318,68.7,77.6,73.7,62.1,66.7,12,13,9.6,2.44,0,1,7.7,61.5,8,3,0.0,14,42.4,0,5,,,,,66.2,67.3,71.2,69.8,,,57.3,1,1,14,0.0,51.4,0.0,0,1,0,0,0,1,7.1,94,7.2,68.2,22,22,9.9,2.4,0,1,4.5,63.6,14,0,6.7,22,66.7,1,10,,,,66.7,67.6,89.7,72.8,85.5,88.9,,,0,0,22,,90.0,0.0,0,0,0,0,0,0,0.0,184,8.4,0,20.0,5,6,8.4,3.01,0,0,0.0,16.7,1,11,0.0,11,33.3,0,1,,,,,65.6,46.0,70.4,41.8,,,62.1,1,1,11,27.3,0.0,27.3,3,2,0,0,0,1,9.1,16,2.7
Malik Cunningham,60436,QB,LOUISVILLE,1,33,42.9,7,7,13.0,2.43,0,0,0.0,42.9,3,0,0.0,8,24.2,0,3,,,,,65.1,56.4,69.8,53.3,,,61.7,0,0,9,,53.3,0.0,0,1,0,0,0,0,0.0,26,3.7,0,210,72.7,82.7,80.4,71.3,85.0,20,21,7.9,3.38,0,2,9.1,76.2,16,8,5.9,25,75.8,1,8,,,,,67.8,90.9,73.3,89.0,,,71.6,0,0,26,12.5,113.2,4.0,1,3,0,1,1,0,0.0,160,7.6,73.9,23,23,8.7,2.6,0,1,4.0,69.6,16,0,5.9,25,75.8,1,9,,,,,67.9,78.8,73.4,79.8,,,58.0,0,0,27,,100.8,0.0,0,2,0,0,1,0,0.0,145,6.3,1,75.0,4,5,12.0,4.86,0,1,20.0,60.0,3,8,0.0,8,24.2,0,2,,,,,64.9,86.4,69.5,69.4,,,77.6,0,0,8,12.5,86.3,12.5,1,2,0,1,0,0,0.0,41,8.2
Ben Wooldridge,82115,QB,LA LAFAYET,1,32,78.6,14,17,4.9,3.53,0,0,0.0,58.8,10,9,9.1,19,59.4,1,3,,,,,67.2,63.4,72.5,65.4,,,57.3,0,1,21,11.1,58.7,5.3,1,1,0,3,1,0,0.0,37,2.2,0,207,35.9,59.1,63.3,52.6,81.8,11,12,3.0,2.22,0,0,0.0,66.7,8,3,11.1,13,40.6,1,2,,,,,66.2,57.2,71.2,59.5,,,57.3,0,0,14,0.0,76.0,0.0,0,1,0,1,0,0,0.0,53,4.4,89.5,19,20,2.3,2.4,0,0,0.0,75.0,15,0,11.8,20,62.5,2,5,,,,,67.2,75.2,72.5,74.6,,,,0,0,21,,96.5,0.0,0,0,0,1,1,0,0.0,73,3.7,0,50.0,6,9,9.7,4.01,0,0,0.0,33.3,3,12,0.0,12,37.5,0,0,,,,,66.2,40.6,71.2,44.2,,,52.9,0,1,14,8.3,2.8,8.3,1,2,0,3,0,0,0.0,17,1.9
Spencer Sanders,77660,QB,OKLA STATE,1,32,50.0,2,3,11.0,3.43,0,0,0.0,33.3,1,2,0.0,3,9.4,0,1,,,,,62.7,48.3,67.4,49.8,54.3,,,0,0,3,0.0,46.5,0.0,0,0,0,1,0,0,0.0,12,4.0,0,262,72.7,75.0,63.3,76.7,83.3,24,25,6.6,2.43,0,1,4.0,72.0,18,5,10.0,29,90.6,2,9,,,,,68.1,75.0,73.6,66.8,,,76.1,1,1,29,0.0,86.3,0.0,0,4,0,0,1,1,3.4,165,6.6,83.3,24,24,6.7,2.02,0,1,4.2,79.2,19,0,5.0,25,78.1,1,9,,,,,67.7,67.3,73.3,65.5,54.3,,64.3,0,1,25,,93.9,0.0,0,1,0,0,1,1,4.0,177,7.4,0,50.0,2,4,9.5,4.33,0,0,0.0,0.0,0,7,100.0,7,21.9,1,1,,,,,64.6,71.6,69.1,53.9,,,72.7,1,0,7,0.0,39.6,0.0,0,3,0,1,0,0,0.0,0,0.0
Jaxson Dart,146409,QB,OLE MISS,1,32,50.0,6,6,13.5,3.43,0,2,28.6,50.0,3,6,0.0,8,25.0,0,3,,,,,65.1,93.1,69.8,91.7,,,71.1,0,0,9,0.0,66.7,0.0,0,2,0,0,0,0,0.0,33,5.5,0,226,72.0,72.4,65.8,72.4,60.9,23,23,13.2,2.5,0,0,0.0,52.2,12,6,14.3,24,75.0,2,7,,,,,67.6,49.8,73.0,49.9,,,,0,1,24,0.0,60.1,0.0,0,0,0,0,0,2,8.3,180,7.8,68.4,19,19,11.4,2.5,0,0,0.0,57.9,11,0,15.4,20,62.5,2,7,,,,,67.2,66.6,72.5,66.2,,,,0,1,21,,65.5,0.0,0,0,0,0,0,1,4.8,169,8.9,0,40.0,10,10,16.8,3.12,0,2,20.0,40.0,4,12,0.0,12,37.5,0,3,,,,,65.8,70.4,70.7,62.5,,,71.1,0,0,12,0.0,53.8,0.0,0,2,0,0,0,1,8.3,44,4.4
Ben Bryant,77655,QB,CINCINNATI,1,32,58.3,12,13,13.4,2.71,0,1,7.1,53.8,7,5,0.0,16,50.0,0,6,,,,,66.7,79.6,71.8,79.4,,,61.8,0,0,17,20.0,120.2,6.3,1,2,0,1,2,0,0.0,105,8.1,0,138,69.5,72.7,67.7,71.2,64.3,14,14,11.1,2.7,0,0,0.0,57.1,8,4,11.1,16,50.0,1,3,,,,,66.5,53.3,71.6,53.2,,,,0,1,16,50.0,38.1,12.5,2,0,0,0,0,1,6.3,61,4.4,65.2,23,23,11.5,2.34,0,1,4.2,60.9,14,0,6.7,23,71.9,1,8,,,,,67.6,77.4,73.0,76.7,,,,0,1,24,,93.0,0.0,0,0,0,0,2,1,4.2,162,7.0,0,33.3,3,4,17.3,3.63,0,0,0.0,25.0,1,9,0.0,9,28.1,0,1,,,,,65.1,44.4,69.8,39.2,,,61.8,0,0,9,33.3,39.6,33.3,3,2,0,1,0,0,0.0,4,1.0
KJ Jefferson,99129,QB,ARKANSAS,1,32,66.7,12,13,8.8,3.07,1,0,0.0,53.8,7,10,12.5,18,56.3,1,7,,,,,67.0,59.2,72.2,63.7,,,53.4,0,0,19,10.0,85.1,5.6,1,4,0,0,0,0,0.0,119,9.2,0,111,72.4,70.2,67.0,65.6,66.7,9,11,9.3,2.62,1,0,0.0,54.5,6,4,0.0,14,43.8,0,2,,,,,66.5,65.7,71.6,68.0,,,57.5,0,0,16,75.0,91.5,21.4,3,0,0,1,1,0,0.0,36,3.3,73.3,15,18,6.9,2.02,2,0,0.0,55.6,10,0,9.1,18,56.3,1,5,,,,,67.0,66.6,72.2,66.2,,,,0,0,19,,91.2,0.0,0,0,0,1,1,0,0.0,105,5.8,1,50.0,6,6,14.3,3.97,0,0,0.0,50.0,3,14,0.0,14,43.8,0,4,,,,,66.5,57.1,71.6,65.0,,,51.5,0,0,16,28.6,78.5,28.6,4,4,0,0,0,0,0.0,50,8.3
Chandler Rogers,98683,QB,LA MONROE,1,32,100.0,3,3,4.3,3.1,0,0,0.0,100.0,3,2,0.0,4,12.5,0,2,,,,,63.3,80.9,67.4,74.0,,,64.3,0,0,4,0.0,131.3,0.0,0,1,0,0,1,0,0.0,18,6.0,0,209,21.5,61.3,62.2,58.1,76.5,17,19,6.9,2.75,1,1,4.5,57.9,11,10,15.4,28,87.5,2,3,,,,,18.2,48.2,73.9,58.4,,,41.3,0,0,31,40.0,94.8,14.3,4,5,0,1,1,2,6.5,123,6.5,77.8,18,20,7.4,2.1,1,1,4.5,60.0,12,0,14.3,20,62.5,2,3,,,,,67.4,69.4,72.7,68.9,,,,0,0,22,,113.3,0.0,0,0,0,1,2,0,0.0,134,6.7,0,100.0,2,2,-1.5,3.97,0,0,0.0,100.0,2,12,0.0,12,37.5,0,2,,,,,8.9,34.6,71.0,44.0,,,46.7,0,0,13,33.3,81.3,33.3,4,6,0,0,0,2,15.4,7,3.5
